Player,Season,Round,AF
Todd Marshall,2022,Round 4,49
Oliver Wines,2022,Round 4,36
Jed McEntee,2022,Round 4,36
Sam Mayes,2022,Round 4,17
James Jordon,2022,Round 4,77
Ed Langdon,2022,Round 4,87
Max Gawn,2022,Round 4,140
Christian Petracca,2022,Round 4,77
Steven May,2022,Round 4,94
James Harmes,2022,Round 4,99
Angus Brayshaw,2022,Round 4,70
Jack Viney,2022,Round 4,84
Alex Neal-Bullen,2022,Round 4,58
Clayton Oliver,2022,Round 4,68
Tom Sparrow,2022,Round 4,58
Charlie Spargo,2022,Round 4,61
Luke Jackson,2022,Round 4,94
Jake Bowey,2022,Round 4,42
Trent Rivers,2022,Round 4,35
Bayley Fritsch,2022,Round 4,51
Tom McDonald,2022,Round 4,46
Kysaiah Pickett,2022,Round 4,41
Adam Tomlinson,2022,Round 4,33
Jayden Hunt,2022,Round 4,29
Jake Lever,2022,Round 4,21
Sam Weideman,2022,Round 4,36
Isaac Smith,2022,Round 4,121
Gryan Miers,2022,Round 4,84
Zach Tuohy,2022,Round 4,91
Mark Blicavs,2022,Round 4,125
Mark O'Connor,2022,Round 4,76
Brandan Parfitt,2022,Round 4,79
Patrick Dangerfield,2022,Round 4,66
Max Holmes,2022,Round 4,58
Mitchell Duncan,2022,Round 4,88
Jeremy Cameron,2022,Round 4,76
Jake Kolodjashnij,2022,Round 4,70
Cameron Guthrie,2022,Round 4,70
Luke Dahlhaus,2022,Round 4,72
Quinton Narkle,2022,Round 4,55
Tom Atkins,2022,Round 4,76
Tom Hawkins,2022,Round 4,108
Bradley Close,2022,Round 4,60
Rhys Stanley,2022,Round 4,62
Jack Henry,2022,Round 4,45
Jed Bews,2022,Round 4,45
Tyson Stengle,2022,Round 4,59
Sam De Koning,2022,Round 4,35
Zach Guthrie,2022,Round 4,11
Lachie Neale,2022,Round 4,98
Daniel Rich,2022,Round 4,90
Hugh McCluggage,2022,Round 4,79
Jarryd Lyons,2022,Round 4,100
Jarrod Berry,2022,Round 4,81
Mitch Robinson,2022,Round 4,71
Charlie Cameron,2022,Round 4,63
Harris Andrews,2022,Round 4,76
Zac Bailey,2022,Round 4,47
Darcy Fort,2022,Round 4,91
Lincoln McCarthy,2022,Round 4,62
Daniel McStay,2022,Round 4,94
Callum Ah Chee,2022,Round 4,54
Cameron Rayner,2022,Round 4,53
Noah Answerth,2022,Round 4,65
Joe Daniher,2022,Round 4,71
Marcus Adams,2022,Round 4,59
Dayne Zorko,2022,Round 4,44
Darcy Gardiner,2022,Round 4,43
Brandon Starcevich,2022,Round 4,51
Nakia Cockatoo,2022,Round 4,42
Tom Fullarton,2022,Round 4,32
Justin McInerney,2022,Round 4,107
Callum Mills,2022,Round 4,106
Jake Lloyd,2022,Round 4,82
Oliver Florent,2022,Round 4,92
Braeden Campbell,2022,Round 4,88
Chad Warner,2022,Round 4,71
Luke Parker,2022,Round 4,42
Isaac Heeney,2022,Round 4,111
James Rowbottom,2022,Round 4,79
Josh P. Kennedy,2022,Round 4,49
Harry Cunningham,2022,Round 4,55
Nick Blakey,2022,Round 4,55
Errol Gulden,2022,Round 4,62
Dane Rampe,2022,Round 4,33
Peter Ladhams,2022,Round 4,58
Sam Reid,2022,Round 4,68
Will Hayward,2022,Round 4,36
Ben Ronke,2022,Round 4,52
Patrick McCartin,2022,Round 4,36
James Bell,2022,Round 4,49
Lance Franklin,2022,Round 4,45
Hayden McLean,2022,Round 4,32
Tom McCartin,2022,Round 4,17
Jy Simpkin,2022,Round 4,110
Luke McDonald,2022,Round 4,103
Aaron Hall,2022,Round 4,95
Jaidyn Stephenson,2022,Round 4,122
Jason Horne-Francis,2022,Round 4,94
Luke Davies-Uniacke,2022,Round 4,76
Bailey Scott,2022,Round 4,73
Hugh Greenwood,2022,Round 4,64
Todd Goldstein,2022,Round 4,78
Joshua Walker,2022,Round 4,46
Jack Mahony,2022,Round 4,86
Aidan Corr,2022,Round 4,39
Cameron Zurhaar,2022,Round 4,46
Ben McKay,2022,Round 4,53
Curtis Taylor,2022,Round 4,51
Lachie Young,2022,Round 4,35
Flynn Perez,2022,Round 4,42
Atu Bosenavulagi,2022,Round 4,47
Jack Ziebell,2022,Round 4,80
Nick Larkey,2022,Round 4,19
Tristan Xerri,2022,Round 4,59
Kayne Turner,2022,Round 4,26
Aiden Bonar,2022,Round 4,-3
Nick Daicos,2022,Round 4,126
Jack Crisp,2022,Round 4,100
Josh Daicos,2022,Round 4,107
Scott Pendlebury,2022,Round 4,77
Brayden Maynard,2022,Round 4,88
Patrick Lipinski,2022,Round 4,76
Brodie Grundy,2022,Round 4,124
Callum Brown,2022,Round 4,69
Tom Wilson,2022,Round 4,69
Steele Sidebottom,2022,Round 4,58
Jeremy Howe,2022,Round 4,56
Darcy Moore,2022,Round 4,57
Brody Mihocek,2022,Round 4,76
John Noble,2022,Round 4,55
Jamie Elliott,2022,Round 4,73
Jack Ginnivan,2022,Round 4,65
Isaac Quaynor,2022,Round 4,46
Will Hoskin-Elliott,2022,Round 4,47
Jack Madgen,2022,Round 4,44
Darcy Cameron,2022,Round 4,51
Oliver Henry,2022,Round 4,28
Reef McInnes,2022,Round 4,19
Trent Bianco,2022,Round 4,3
Alex Witherden,2022,Round 4,100
Xavier O'Neill,2022,Round 4,73
Patrick Naish,2022,Round 4,70
Jack Redden,2022,Round 4,70
Jeremy McGovern,2022,Round 4,80
Liam Duggan,2022,Round 4,85
Shannon Hurn,2022,Round 4,62
Nicholas Naitanui,2022,Round 4,59
Jackson Nelson,2022,Round 4,60
Hugh Dixon,2022,Round 4,75
Connor West,2022,Round 4,76
Zac Langdon,2022,Round 4,63
Luke Edwards,2022,Round 4,55
Brady Hough,2022,Round 4,51
Willie Rioli,2022,Round 4,70
Luke Foley,2022,Round 4,65
Tom Barrass,2022,Round 4,50
Jack Darling,2022,Round 4,57
Liam Ryan,2022,Round 4,60
Jake Waterman,2022,Round 4,36
Jamaine Jones,2022,Round 4,43
Joshua Kennedy,2022,Round 4,45
Josh Rotham,2022,Round 4,0
Jayden Short,2022,Round 4,125
Dion Prestia,2022,Round 4,114
Daniel Rioli,2022,Round 4,102
Nathan Broad,2022,Round 4,89
Kamdyn Mcintosh,2022,Round 4,80
Shai Bolton,2022,Round 4,78
Marlion Pickett,2022,Round 4,83
Hugo Ralphsmith,2022,Round 4,66
Jason Castagna,2022,Round 4,84
Liam Baker,2022,Round 4,62
Trent Cotchin,2022,Round 4,39
Thomson Dow,2022,Round 4,78
Shane Edwards,2022,Round 4,38
Robbie Tarrant,2022,Round 4,55
Jack Riewoldt,2022,Round 4,64
Toby Nankervis,2022,Round 4,92
Jack Graham,2022,Round 4,55
Matthew Parker,2022,Round 4,46
Josh Gibcus,2022,Round 4,42
Tom Lynch,2022,Round 4,64
Ben Miller,2022,Round 4,39
Noah Balta,2022,Round 4,48
Josh Dunkley,2022,Round 4,129
Bailey Smith,2022,Round 4,131
Jackson Macrae,2022,Round 4,130
Marcus Bontempelli,2022,Round 4,107
Bailey Dale,2022,Round 4,104
Caleb Daniel,2022,Round 4,97
Adam Treloar,2022,Round 4,73
Thomas Liberatore,2022,Round 4,87
Timothy English,2022,Round 4,105
Lachlan Hunter,2022,Round 4,71
Ed Richards,2022,Round 4,63
Tim O'Brien,2022,Round 4,53
Bailey Williams,2022,Round 4,62
Aaron Naughton,2022,Round 4,73
Taylor Duryea,2022,Round 4,55
Louis Butler,2022,Round 4,42
Ryan Gardner,2022,Round 4,26
Cody Weightman,2022,Round 4,38
Mitchell Wallis,2022,Round 4,25
Laitham Vandermeer,2022,Round 4,26
Anthony Scott,2022,Round 4,22
Jamarra Ugle-Hagan,2022,Round 4,15
Lachlan McNeil,2022,Round 4,26
Will Brodie,2022,Round 4,127
David Mundy,2022,Round 4,102
Andrew Brayshaw,2022,Round 4,110
Heath Chapman,2022,Round 4,83
James Aish,2022,Round 4,77
Blake Acres,2022,Round 4,83
Hayden Young,2022,Round 4,77
Michael Walters,2022,Round 4,87
Nathan O'Driscoll,2022,Round 4,109
Griffin Logue,2022,Round 4,78
Brennan Cox,2022,Round 4,65
Neil Erasmus,2022,Round 4,68
Travis Colyer,2022,Round 4,76
Michael Frederick,2022,Round 4,70
Sean Darcy,2022,Round 4,60
Luke Ryan,2022,Round 4,60
Sam Switkowski,2022,Round 4,75
Lachlan Schultz,2022,Round 4,75
Rory Lobb,2022,Round 4,63
Jordan Clark,2022,Round 4,37
Matthew Taberner,2022,Round 4,36
Brandon Walker,2022,Round 4,28
Tim Taranto,2022,Round 4,107
Isaac Cumming,2022,Round 4,97
Lachie Whitfield,2022,Round 4,96
Callan Ward,2022,Round 4,69
Harry Perryman,2022,Round 4,84
Stephen Coniglio,2022,Round 4,61
Joshua Kelly,2022,Round 4,81
Sam Taylor,2022,Round 4,61
Tom Green,2022,Round 4,78
Lachlan Ash,2022,Round 4,47
Lachlan Keeffe,2022,Round 4,57
Braydon Preuss,2022,Round 4,85
Xavier O'Halloran,2022,Round 4,58
Tanner Bruhn,2022,Round 4,37
Connor Idun,2022,Round 4,41
Matthew De Boer,2022,Round 4,53
Jesse Hogan,2022,Round 4,46
Ian Hill,2022,Round 4,43
Jake Riccardi,2022,Round 4,34
James Peatling,2022,Round 4,24
Jake Stein,2022,Round 4,25
Harrison Himmelberg,2022,Round 4,27
Darcy Parish,2022,Round 4,112
Dyson Heppell,2022,Round 4,93
Andrew McGrath,2022,Round 4,103
Nick Hind,2022,Round 4,100
Jye Caldwell,2022,Round 4,69
Nicholas Martin,2022,Round 4,73
Dylan Shiel,2022,Round 4,76
Matt Guelfi,2022,Round 4,66
Mason Redman,2022,Round 4,93
Jordan Ridley,2022,Round 4,69
Sam Durham,2022,Round 4,72
Jayden Laverde,2022,Round 4,65
Devon Smith,2022,Round 4,58
Sam Draper,2022,Round 4,58
Jake Kelly,2022,Round 4,55
Peter Wright,2022,Round 4,79
Alec Waterman,2022,Round 4,53
Brandon Zerk-Thatcher,2022,Round 4,40
Archie Perkins,2022,Round 4,53
Andrew Phillips,2022,Round 4,64
Brayden Ham,2022,Round 4,25
Will Snelling,2022,Round 4,31
Tex Wanganeen,2022,Round 4,21
Rory Laird,2022,Round 4,123
Ben Keays,2022,Round 4,134
Jordan Dawson,2022,Round 4,85
Matt Crouch,2022,Round 4,66
Lachlan Sholl,2022,Round 4,71
Josh Rachele,2022,Round 4,101
Taylor Walker,2022,Round 4,92
Tom Doedee,2022,Round 4,70
Rory Sloane,2022,Round 4,72
Luke Brown,2022,Round 4,49
Billy Frampton,2022,Round 4,52
Brodie Smith,2022,Round 4,56
Chayce Jones,2022,Round 4,61
Ned McHenry,2022,Round 4,55
Harry Schoenberg,2022,Round 4,49
Lachlan Murphy,2022,Round 4,49
Elliott Himmelberg,2022,Round 4,45
Mitchell Hinge,2022,Round 4,28
Jordon Butts,2022,Round 4,35
James Rowe,2022,Round 4,50
Reilly O'Brien,2022,Round 4,56
Brayden Cook,2022,Round 4,22
Lachlan Gollant,2022,Round 4,34
Tom Mitchell,2022,Round 4,103
Jai Newcombe,2022,Round 4,82
Changkuoth Jiath,2022,Round 4,60
Jaeger O'Meara,2022,Round 4,74
Jarman Impey,2022,Round 4,75
James Sicily,2022,Round 4,84
Blake Hardwick,2022,Round 4,72
Harry Morrison,2022,Round 4,76
Jack Scrimshaw,2022,Round 4,71
Sam Frost,2022,Round 4,65
Dylan Moore,2022,Round 4,71
Daniel Howe,2022,Round 4,51
Finn Maginness,2022,Round 4,35
Luke Breust,2022,Round 4,74
Mitchell Lewis,2022,Round 4,83
Conor Nash,2022,Round 4,47
Ned Reeves,2022,Round 4,64
Connor MacDonald,2022,Round 4,25
Josh Ward,2022,Round 4,27
Will Day,2022,Round 4,40
Denver Grainger-Barras,2022,Round 4,23
James Worpel,2022,Round 4,10
Jack Gunston,2022,Round 4,20
Jack Sinclair,2022,Round 4,113
Jack Steele,2022,Round 4,130
Brad Crouch,2022,Round 4,118
Sebastian Ross,2022,Round 4,91
Bradley Hill,2022,Round 4,114
Jarrod Lienert,2022,Round 4,94
Jimmy Webster,2022,Round 4,77
Jade Gresham,2022,Round 4,90
Daniel McKenzie,2022,Round 4,59
Nasiah Wanganeen-Milera,2022,Round 4,68
Josh Battle,2022,Round 4,79
Max King,2022,Round 4,107
Dougal Howard,2022,Round 4,61
Ben Paton,2022,Round 4,58
Tim Membrey,2022,Round 4,88
Daniel Butler,2022,Round 4,83
Marcus Windhager,2022,Round 4,54
Mason Wood,2022,Round 4,62
Ben Long,2022,Round 4,55
Rowan Marshall,2022,Round 4,60
Patrick Ryder,2022,Round 4,67
Callum Wilkie,2022,Round 4,39
Noah Anderson,2022,Round 4,112
Touk Miller,2022,Round 4,83
Lachlan Weller,2022,Round 4,121
Brandon Ellis,2022,Round 4,96
Matt Rowell,2022,Round 4,66
Wil Powell,2022,Round 4,73
Jarrod Witts,2022,Round 4,97
Brayden Fiorini,2022,Round 4,66
Alex Davies,2022,Round 4,38
Jack Lukosius,2022,Round 4,70
David Swallow,2022,Round 4,51
Sean Lemmens,2022,Round 4,44
Rory Atkins,2022,Round 4,39
Josh Corbett,2022,Round 4,70
Malcolm Rosas,2022,Round 4,58
Ben Ainsworth,2022,Round 4,43
Samuel Collins,2022,Round 4,49
Charlie Ballard,2022,Round 4,32
Mabior Chol,2022,Round 4,68
Nicholas Holman,2022,Round 4,34
Levi Casboult,2022,Round 4,39
Izak Rankine,2022,Round 4,24
Jy Farrar,2022,Round 4,7
Zachary Williams,2022,Round 4,137
Sam Docherty,2022,Round 4,99
George Hewett,2022,Round 4,115
Sam Walsh,2022,Round 4,95
Nic Newman,2022,Round 4,95
Adam Saad,2022,Round 4,75
Will Setterfield,2022,Round 4,67
Jack Silvagni,2022,Round 4,77
Zac Fisher,2022,Round 4,73
Lochie O'Brien,2022,Round 4,73
Matthew Kennedy,2022,Round 4,69
Adam Cerra,2022,Round 4,68
Jordan Boyd,2022,Round 4,41
Jack Martin,2022,Round 4,56
Charlie Curnow,2022,Round 4,69
Lewis Young,2022,Round 4,56
Matt Owies,2022,Round 4,66
Jacob Weitering,2022,Round 4,43
Lachlan Fogarty,2022,Round 4,49
Tom De Koning,2022,Round 4,62
Lachlan Plowman,2022,Round 4,46
Patrick Cripps,2022,Round 4,36
Harry McKay,2022,Round 4,49
Lachie Neale,2022,Round 5,119
Dayne Zorko,2022,Round 5,109
Hugh McCluggage,2022,Round 5,110
Daniel Rich,2022,Round 5,83
Jarryd Lyons,2022,Round 5,86
Mitch Robinson,2022,Round 5,81
Jarrod Berry,2022,Round 5,65
Zac Bailey,2022,Round 5,96
Lincoln McCarthy,2022,Round 5,58
Harris Andrews,2022,Round 5,59
Marcus Adams,2022,Round 5,79
Noah Answerth,2022,Round 5,43
Darcy Gardiner,2022,Round 5,45
Brandon Starcevich,2022,Round 5,62
Charlie Cameron,2022,Round 5,64
Callum Ah Chee,2022,Round 5,62
Joe Daniher,2022,Round 5,87
Cameron Rayner,2022,Round 5,53
Daniel McStay,2022,Round 5,64
Oscar McInerney,2022,Round 5,67
Kai Lohmann,2022,Round 5,39
Darcy Fort,2022,Round 5,38
Jack Crisp,2022,Round 5,125
Scott Pendlebury,2022,Round 5,81
Nick Daicos,2022,Round 5,80
Taylor Adams,2022,Round 5,92
Josh Daicos,2022,Round 5,104
Patrick Lipinski,2022,Round 5,73
Jordan De Goey,2022,Round 5,101
Brayden Maynard,2022,Round 5,65
Darcy Moore,2022,Round 5,81
Will Hoskin-Elliott,2022,Round 5,68
Steele Sidebottom,2022,Round 5,51
Jeremy Howe,2022,Round 5,62
Brodie Grundy,2022,Round 5,54
Isaac Quaynor,2022,Round 5,56
Jack Madgen,2022,Round 5,49
Callum Brown,2022,Round 5,54
Nathan Kreuger,2022,Round 5,67
Reef McInnes,2022,Round 5,62
Darcy Cameron,2022,Round 5,40
Tom Wilson,2022,Round 5,28
Jordan Roughead,2022,Round 5,25
John Noble,2022,Round 5,18
Mason Cox,2022,Round 5,38
Jy Simpkin,2022,Round 5,76
Luke Davies-Uniacke,2022,Round 5,74
Tristan Xerri,2022,Round 5,86
Bailey Scott,2022,Round 5,79
Hugh Greenwood,2022,Round 5,77
Jason Horne-Francis,2022,Round 5,56
Luke McDonald,2022,Round 5,69
Jaidyn Stephenson,2022,Round 5,63
Aaron Hall,2022,Round 5,50
Lachie Young,2022,Round 5,68
Nick Larkey,2022,Round 5,89
Aidan Corr,2022,Round 5,34
Curtis Taylor,2022,Round 5,51
Joshua Walker,2022,Round 5,40
Ben McKay,2022,Round 5,50
Flynn Perez,2022,Round 5,44
Atu Bosenavulagi,2022,Round 5,25
Jack Ziebell,2022,Round 5,46
Tom Powell,2022,Round 5,39
Eddie Ford,2022,Round 5,20
Kayne Turner,2022,Round 5,40
Todd Goldstein,2022,Round 5,27
Jack Mahony,2022,Round 5,24
Bailey Smith,2022,Round 5,147
Jackson Macrae,2022,Round 5,119
Adam Treloar,2022,Round 5,109
Taylor Duryea,2022,Round 5,104
Thomas Liberatore,2022,Round 5,85
Bailey Dale,2022,Round 5,74
Caleb Daniel,2022,Round 5,96
Josh Dunkley,2022,Round 5,105
Timothy English,2022,Round 5,107
Lachlan Hunter,2022,Round 5,66
Bailey Williams,2022,Round 5,73
Marcus Bontempelli,2022,Round 5,101
Ed Richards,2022,Round 5,58
Tim O'Brien,2022,Round 5,75
Anthony Scott,2022,Round 5,82
Ryan Gardner,2022,Round 5,71
Aaron Naughton,2022,Round 5,102
Zaine Cordy,2022,Round 5,46
Lachlan McNeil,2022,Round 5,35
Cody Weightman,2022,Round 5,65
Mitchell Wallis,2022,Round 5,56
Jamarra Ugle-Hagan,2022,Round 5,24
Riley Garcia,2022,Round 5,8
Patrick Naish,2022,Round 5,82
Liam Duggan,2022,Round 5,87
Alex Witherden,2022,Round 5,102
Jack Redden,2022,Round 5,78
Luke Shuey,2022,Round 5,65
Luke Foley,2022,Round 5,85
Tom Barrass,2022,Round 5,57
Tim Kelly,2022,Round 5,69
Shannon Hurn,2022,Round 5,65
Elliot Yeo,2022,Round 5,65
Josh Rotham,2022,Round 5,56
Zac Langdon,2022,Round 5,37
Harry Edwards,2022,Round 5,58
Jamie Cripps,2022,Round 5,60
Jackson Nelson,2022,Round 5,40
Bailey Williams,2022,Round 5,52
Jack Darling,2022,Round 5,39
Liam Ryan,2022,Round 5,74
Willie Rioli,2022,Round 5,58
Hugh Dixon,2022,Round 5,59
Jamaine Jones,2022,Round 5,34
Joshua Kennedy,2022,Round 5,40
Callum Mills,2022,Round 5,106
Errol Gulden,2022,Round 5,99
Luke Parker,2022,Round 5,123
Jake Lloyd,2022,Round 5,96
Peter Ladhams,2022,Round 5,112
Justin McInerney,2022,Round 5,88
James Rowbottom,2022,Round 5,88
Nick Blakey,2022,Round 5,67
Chad Warner,2022,Round 5,59
Ben Ronke,2022,Round 5,79
Isaac Heeney,2022,Round 5,103
Oliver Florent,2022,Round 5,61
Will Hayward,2022,Round 5,79
Tom McCartin,2022,Round 5,57
Hayden McLean,2022,Round 5,87
Sam Reid,2022,Round 5,53
Harry Cunningham,2022,Round 5,42
Logan McDonald,2022,Round 5,86
Patrick McCartin,2022,Round 5,39
James Bell,2022,Round 5,50
Braeden Campbell,2022,Round 5,42
Dane Rampe,2022,Round 5,26
Brad Crouch,2022,Round 5,100
Sebastian Ross,2022,Round 5,93
Jack Steele,2022,Round 5,112
Jack Sinclair,2022,Round 5,97
Jade Gresham,2022,Round 5,99
Daniel McKenzie,2022,Round 5,86
Josh Battle,2022,Round 5,98
Ben Long,2022,Round 5,68
Bradley Hill,2022,Round 5,63
Tim Membrey,2022,Round 5,82
Jarrod Lienert,2022,Round 5,74
Callum Wilkie,2022,Round 5,74
Jack Higgins,2022,Round 5,92
Ben Paton,2022,Round 5,63
Jack Hayes,2022,Round 5,70
Rowan Marshall,2022,Round 5,108
Nasiah Wanganeen-Milera,2022,Round 5,62
Mason Wood,2022,Round 5,54
Marcus Windhager,2022,Round 5,36
Dougal Howard,2022,Round 5,35
Daniel Butler,2022,Round 5,37
Max King,2022,Round 5,55
Touk Miller,2022,Round 5,99
Noah Anderson,2022,Round 5,99
Lachlan Weller,2022,Round 5,85
Brandon Ellis,2022,Round 5,84
Oleg Markov,2022,Round 5,85
Brayden Fiorini,2022,Round 5,85
Matt Rowell,2022,Round 5,66
Ben Ainsworth,2022,Round 5,81
Wil Powell,2022,Round 5,74
Nicholas Holman,2022,Round 5,72
Malcolm Rosas,2022,Round 5,73
Jy Farrar,2022,Round 5,67
Samuel Collins,2022,Round 5,69
David Swallow,2022,Round 5,48
Sean Lemmens,2022,Round 5,60
Levi Casboult,2022,Round 5,40
Jarrod Witts,2022,Round 5,74
Charlie Ballard,2022,Round 5,45
Josh Corbett,2022,Round 5,42
Izak Rankine,2022,Round 5,28
Alex Davies,2022,Round 5,22
Mabior Chol,2022,Round 5,25
Rory Atkins,2022,Round 5,6
Ben Keays,2022,Round 5,114
Brodie Smith,2022,Round 5,91
Rory Laird,2022,Round 5,95
Matt Crouch,2022,Round 5,78
Jordan Dawson,2022,Round 5,99
Billy Frampton,2022,Round 5,90
Tom Doedee,2022,Round 5,75
Lachlan Sholl,2022,Round 5,70
Lachlan Murphy,2022,Round 5,49
Brayden Cook,2022,Round 5,66
Taylor Walker,2022,Round 5,99
Sam Berry,2022,Round 5,56
Rory Sloane,2022,Round 5,40
Chayce Jones,2022,Round 5,48
Luke Brown,2022,Round 5,52
Elliott Himmelberg,2022,Round 5,81
Josh Rachele,2022,Round 5,53
Reilly O'Brien,2022,Round 5,83
Shane McAdam,2022,Round 5,71
Ned McHenry,2022,Round 5,27
Lachlan Gollant,2022,Round 5,35
Jordon Butts,2022,Round 5,22
James Rowe,2022,Round 5,15
Dion Prestia,2022,Round 5,93
Trent Cotchin,2022,Round 5,84
Jack Ross,2022,Round 5,67
Shai Bolton,2022,Round 5,49
Nick Vlastuin,2022,Round 5,91
Jack Graham,2022,Round 5,84
Shane Edwards,2022,Round 5,70
Jayden Short,2022,Round 5,72
Daniel Rioli,2022,Round 5,70
Nathan Broad,2022,Round 5,63
Noah Balta,2022,Round 5,64
Matthew Parker,2022,Round 5,69
Thomson Dow,2022,Round 5,37
Hugo Ralphsmith,2022,Round 5,40
Liam Baker,2022,Round 5,55
Tom Lynch,2022,Round 5,68
Toby Nankervis,2022,Round 5,73
Jason Castagna,2022,Round 5,60
Marlion Pickett,2022,Round 5,25
Robbie Tarrant,2022,Round 5,37
Jack Riewoldt,2022,Round 5,44
Ben Miller,2022,Round 5,14
Jake Aarts,2022,Round 5,10
Clayton Oliver,2022,Round 5,111
Christian Petracca,2022,Round 5,115
Jack Viney,2022,Round 5,97
Ed Langdon,2022,Round 5,86
Steven May,2022,Round 5,98
James Harmes,2022,Round 5,87
Angus Brayshaw,2022,Round 5,75
Charlie Spargo,2022,Round 5,97
Max Gawn,2022,Round 5,132
Jake Bowey,2022,Round 5,74
James Jordon,2022,Round 5,71
Trent Rivers,2022,Round 5,60
Tom Sparrow,2022,Round 5,62
Luke Jackson,2022,Round 5,65
Alex Neal-Bullen,2022,Round 5,65
Jayden Hunt,2022,Round 5,48
Jake Lever,2022,Round 5,38
Bayley Fritsch,2022,Round 5,79
Tom McDonald,2022,Round 5,48
Kysaiah Pickett,2022,Round 5,52
Harrison Petty,2022,Round 5,37
Sam Weideman,2022,Round 5,43
Callan Ward,2022,Round 5,115
Tom Green,2022,Round 5,102
Joshua Kelly,2022,Round 5,95
Tim Taranto,2022,Round 5,92
Lachie Whitfield,2022,Round 5,101
Stephen Coniglio,2022,Round 5,98
Tanner Bruhn,2022,Round 5,75
Lachlan Ash,2022,Round 5,86
Adam Kennedy,2022,Round 5,61
Harry Perryman,2022,Round 5,86
Matthew De Boer,2022,Round 5,38
Sam Taylor,2022,Round 5,70
Jake Stein,2022,Round 5,46
Finn Callaghan,2022,Round 5,45
Ian Hill,2022,Round 5,57
Harrison Himmelberg,2022,Round 5,49
Matthew Flynn,2022,Round 5,80
Xavier O'Halloran,2022,Round 5,47
Nick Haynes,2022,Round 5,37
Connor Idun,2022,Round 5,30
Lachlan Keeffe,2022,Round 5,45
Jesse Hogan,2022,Round 5,43
Sam Walsh,2022,Round 5,113
George Hewett,2022,Round 5,83
Adam Cerra,2022,Round 5,91
Zachary Williams,2022,Round 5,72
Zac Fisher,2022,Round 5,84
Matt Cottrell,2022,Round 5,94
Sam Docherty,2022,Round 5,71
Adam Saad,2022,Round 5,61
Matthew Kennedy,2022,Round 5,59
Jack Newnes,2022,Round 5,75
Harry McKay,2022,Round 5,86
Will Setterfield,2022,Round 5,70
Jack Martin,2022,Round 5,68
Charlie Curnow,2022,Round 5,102
Lewis Young,2022,Round 5,36
Marc Pittonet,2022,Round 5,59
Jack Silvagni,2022,Round 5,64
Jacob Weitering,2022,Round 5,52
Nic Newman,2022,Round 5,52
Corey Durdin,2022,Round 5,46
Luke Parks,2022,Round 5,21
Matt Owies,2022,Round 5,40
Zak Butters,2022,Round 5,109
Ryan Burton,2022,Round 5,113
Darcy Byrne-Jones,2022,Round 5,107
Dan Houston,2022,Round 5,100
Connor Rozee,2022,Round 5,113
Travis Boak,2022,Round 5,75
Thomas Jonas,2022,Round 5,77
Trent Dumont,2022,Round 5,73
Steven Motlop,2022,Round 5,78
Sam Powell-Pepper,2022,Round 5,76
Karl Amon,2022,Round 5,82
Robbie Gray,2022,Round 5,75
Willem Drew,2022,Round 5,44
Mitch Georgiades,2022,Round 5,80
Jeremy Finlayson,2022,Round 5,76
Riley Bonner,2022,Round 5,37
Todd Marshall,2022,Round 5,67
Jackson Mead,2022,Round 5,40
Miles Bergman,2022,Round 5,55
Tom Clurey,2022,Round 5,47
Aliir Aliir,2022,Round 5,21
Sam Hayes,2022,Round 5,51
Dyson Heppell,2022,Round 5,103
Darcy Parish,2022,Round 5,88
Jake Kelly,2022,Round 5,102
Andrew McGrath,2022,Round 5,70
Jye Caldwell,2022,Round 5,67
Brandon Zerk-Thatcher,2022,Round 5,68
Dylan Shiel,2022,Round 5,51
Mason Redman,2022,Round 5,65
Jordan Ridley,2022,Round 5,66
Nicholas Martin,2022,Round 5,68
Devon Smith,2022,Round 5,74
Jayden Laverde,2022,Round 5,57
Matt Guelfi,2022,Round 5,73
Sam Durham,2022,Round 5,38
Ben Hobbs,2022,Round 5,72
Tom Cutler,2022,Round 5,38
Nikolas Cox,2022,Round 5,55
Sam Draper,2022,Round 5,50
Nick Hind,2022,Round 5,45
Peter Wright,2022,Round 5,43
Alec Waterman,2022,Round 5,48
Archie Perkins,2022,Round 5,27
Andrew Phillips,2022,Round 5,5
Andrew Brayshaw,2022,Round 5,123
Caleb Serong,2022,Round 5,107
Will Brodie,2022,Round 5,76
Hayden Young,2022,Round 5,90
Nathan O'Driscoll,2022,Round 5,68
Blake Acres,2022,Round 5,76
David Mundy,2022,Round 5,67
Brennan Cox,2022,Round 5,81
Jordan Clark,2022,Round 5,80
Luke Ryan,2022,Round 5,79
Sean Darcy,2022,Round 5,100
James Aish,2022,Round 5,57
Michael Walters,2022,Round 5,62
Travis Colyer,2022,Round 5,62
Heath Chapman,2022,Round 5,69
Alex Pearce,2022,Round 5,56
Brandon Walker,2022,Round 5,32
Michael Frederick,2022,Round 5,71
Rory Lobb,2022,Round 5,64
Matthew Taberner,2022,Round 5,99
Bailey Banfield,2022,Round 5,49
Sam Switkowski,2022,Round 5,61
Tom Mitchell,2022,Round 5,94
Jai Newcombe,2022,Round 5,113
James Sicily,2022,Round 5,118
Jack Scrimshaw,2022,Round 5,83
Harry Morrison,2022,Round 5,92
Jarman Impey,2022,Round 5,88
Changkuoth Jiath,2022,Round 5,65
Dylan Moore,2022,Round 5,100
